Rows	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
dl	0.97039	0.92134	0.85615	0.77846	0.69267	0.60339	0.51498	0.43114	0.35463	0.28722	0.22967	0.18192	0.1433	0.11273	0.08893	0.07064	0.05666	0.04597	0.03775	0.03133	0.02625	0.02214	0.01876	0.01594	0.01354	0.01149	0.00973	0.0082	0.00688	0.00573	0.00474	0.00387	0.00312	0.00246	0.0019	0.0014	0.00097	0.0006	0.00028	0
tw	0.99235	0.96996	0.93395	0.88449	0.81611	0.71186	0.54984	0.34868	0.18192	0.08578	0.03991	0.01897	0.00918	0.00446	0.00214	0.001	0.00045	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sn	0.998	0.993	0.986	0.977	0.968	0.957	0.908	0.47	0.047	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

